seller_,seller,make_,make,no
26496,2111,Acura,20001,1
26552,2121,Acura,20001,1
26629,2133,Acura,20001,1
26904,2162,Acura,20001,1
27018,2165,Acura,20001,8
27032,2166,Acura,20001,1
27095,2170,Acura,20001,1
80207,2200,Acura,20001,1
80223,2202,Acura,20001,1
80248,2209,Acura,20001,1
80277,2212,Acura,20001,1
80284,2216,Acura,20001,1
80289,2218,Acura,20001,1
80692,2261,Acura,20001,1
81479,2285,Acura,20001,1
81752,2292,Acura,20001,2
81764,2295,Acura,20001,1
82965,2318,Acura,20001,1
83072,2320,Acura,20001,1
84904,2387,Acura,20001,1
84916,2391,Acura,20001,2
84923,2393,Acura,20001,3
85159,2399,Acura,20001,1
85747,2411,Acura,20001,2
85925,2417,Acura,20001,1
87666,2436,Acura,20001,2
87872,2445,Acura,20001,1
88120,2452,Acura,20001,1
88570,2474,Acura,20001,1
88777,2484,Acura,20001,2
88957,2492,Acura,20001,1
90380,2534,Acura,20001,1
90409,2537,Acura,20001,1
92400,2556,Acura,20001,1
92680,2561,Acura,20001,4
93061,2563,Acura,20001,1
94142,2580,Acura,20001,1
95537,2594,Acura,20001,1
95562,2595,Acura,20001,1
96543,2609,Acura,20001,1
96883,2619,Acura,20001,2
97463,2632,Acura,20001,1
97784,2639,Acura,20001,4
98023,2648,Acura,20001,1
98086,2651,Acura,20001,1
99104,2668,Acura,20001,1
99634,2679,Acura,20001,2
99811,2685,Acura,20001,3
100372,2698,Acura,20001,1
101353,2721,Acura,20001,1
101452,2722,Acura,20001,1
101653,2724,Acura,20001,1
102471,2735,Acura,20001,2
102936,2745,Acura,20001,1
103077,2747,Acura,20001,4
103578,2758,Acura,20001,1
103698,2761,Acura,20001,1
103997,2771,Acura,20001,2
104364,2785,Acura,20001,1
104376,2786,Acura,20001,1
104679,2803,Acura,20001,1
104738,2806,Acura,20001,2
105299,2832,Acura,20001,1
105377,2837,Acura,20001,3
105717,2850,Acura,20001,1
106157,2867,Acura,20001,1
106475,2877,Acura,20001,1
106555,2888,Acura,20001,1
106557,2889,Acura,20001,1
106632,2895,Acura,20001,1
106634,2896,Acura,20001,1
106721,2901,Acura,20001,1
106745,2902,Acura,20001,2
106786,2907,Acura,20001,1
106796,2908,Acura,20001,3
107011,2930,Acura,20001,1
107248,2943,Acura,20001,1
107654,2982,Acura,20001,1
107792,2994,Acura,20001,1
107840,3001,Acura,20001,2
107875,3008,Acura,20001,2
107877,3009,Acura,20001,2
107881,3013,Acura,20001,2
107883,3015,Acura,20001,1
107930,3020,Acura,20001,1
108013,3027,Acura,20001,9
108028,3030,Acura,20001,3
108215,3051,Acura,20001,1
108296,3054,Acura,20001,1
108489,3071,Acura,20001,1
108679,3086,Acura,20001,1
108975,3105,Acura,20001,1
109036,3121,Acura,20001,1
109057,3130,Acura,20001,1
109291,3140,Acura,20001,1
